f si sl ac k2
248 4.0 2.272029 8.715047 0.725923
249 4.0 2.331648 8.642958 0.722906
250 4.0 3.023067 8.501708 0.729593
251 2.0 3.059843 8.439192 0.724765
252 5.0 1.849615 8.310298 0.726467
253 6.0 2.267509 8.491046 0.727694
254 6.0 2.399454 8.208687 0.721892
255 7.0 2.59179 7.573276 0.726804
256 8.0 2.182092 7.46367 0.727366
257 4.0 2.030546 7.667084 0.727114
258 3.0 2.261478 7.758369 0.726754
259 3.0 2.088059 7.702227 0.725562
260 3.0 2.625117 7.733675 0.722472
261 4.0 2.254875 7.843024 0.722048
262 3.0 1.878348 8.037937 0.727028
263 6.0 1.807011 8.168621 0.726708
264 8.0 2.241968 8.172768 0.727219
265 7.0 2.029973 8.228705 0.724401
266 5.0 2.018559 8.568785 0.72574
267 1.0 2.249497 8.605914 0.720689
268 7.0 2.459142 8.444804 0.72043
269 6.0 2.633892 8.413388 0.7282
270 5.0 2.030644 8.139237 0.7274
271 5.0 2.77941 8.376444 0.726803
272 6.0 2.495057 7.985086 0.73306
273 10.0 2.241206 7.842093 0.736033
274 9.0 2.000392 7.910391 0.735735
275 10.0 2.247646 7.936464 0.733377
276 13.0 2.064446 7.947196 0.737091
277 9.0 1.916974 7.833963 0.739518
278 11.0 2.366896 7.966711 0.734147
279 7.0 2.214981 7.911168 0.731054
280 9.0 2.839422 8.151611 0.732691
281 6.0 2.479456 8.479896 0.734186
282 9.0 2.681553 8.485827 0.725608
283 9.0 2.593458 8.419978 0.727879
284 7.0 2.666857 8.487556 0.722791
285 6.0 2.552888 8.374298 0.721101
286 6.0 3.013386 8.270536 0.729447
287 5.0 2.311187 8.374955 0.728375
288 8.0 2.02241 8.403579 0.720532
289 8.0 2.091156 8.343752 0.725815
290 4.0 1.917986 8.222647 0.723232
291 6.0 2.259628 8.247331 0.72196
292 5.0 2.770281 8.311511 0.717624
293 7.0 2.51581 8.264872 0.72205
294 3.0 2.584238 8.087779 0.728801
295 8.0 2.169663 7.922444 0.727575
296 5.0 2.434216 8.035073 0.72597
297 8.0 2.497225 7.885579 0.728227
298 5.0 2.760607 7.817235 0.72868
299 6.0 2.225 7.564144 0.728321
300 2.0 2.243787 7.652091 0.726771
301 4.0 2.522496 7.589749 0.725841
302 4.0 2.140132 7.494448 0.723706
303 4.0 2.92033 7.568989 0.731274
304 6.0 2.663689 7.564354 0.731183
305 3.0 2.801816 7.345773 0.730875
306 2.0 2.538377 7.27089 0.729148
307 4.0 2.768926 7.165859 0.735546
308 3.0 3.07673 7.286381 0.734023
309 2.0 2.120512 7.354669 0.730785
310 5.0 1.61533 7.15709 0.733977
311 2.0 2.156376 7.633191 0.727212
312 6.0 2.642122 7.759185 0.728034
313 4.0 2.265394 7.633313 0.729436
314 5.0 3.180745 7.477899 0.7269
315 3.0 2.780803 7.337365 0.730796
316 6.0 2.667125 7.638298 0.727351
317 7.0 2.706602 7.51432 0.729738
318 5.0 3.030795 7.804056 0.722621
319 6.0 2.384348 7.907556 0.724964
320 8.0 2.174151 7.624254 0.724838
321 6.0 1.843344 7.405895 0.732399
322 5.0 3.07077 7.191022 0.732226
323 5.0 2.538481 7.424253 0.733448
324 5.0 2.010775 7.616967 0.737548
325 6.0 2.356025 7.240111 0.73353
326 7.0 2.228478 7.252417 0.736059
327 4.0 2.340807 7.445858 0.736142
328 8.0 1.961287 7.484039 0.734177
329 6.0 2.351791 7.392293 0.743337
330 6.0 2.569572 7.34296 0.738278
331 6.0 2.638399 7.277505 0.739053
332 4.0 2.990204 7.309943 0.733233
333 5.0 2.403342 7.155864 0.740283
334 4.0 2.625995 7.289375 0.733729
335 5.0 1.978913 7.277334 0.733981
336 2.0 2.136083 7.167071 0.731703
337 4.0 2.268047 6.790206 0.733634
338 2.0 2.079001 6.832544 0.735926
339 2.0 2.318253 6.826757 0.742674
340 4.0 1.614687 6.810115 0.738296
341 4.0 2.22008 7.02918 0.745304
342 3.0 2.349731 6.811026 0.742103
